Bank holidays,Type
2012-12-26,Boxing Day
2012-12-25,Christmas Day
2012-08-27,Summer bank holiday
2012-05-06,Queen?s Diamond Jubilee (extra bank holiday)
2012-04-06,Spring bank holiday (substitute day)
2012-07-05,Early May bank holiday
2012-09-04,Easter Monday
2012-06-04,Good Friday
2012-02-01,New Year?s Day (substitute day)
2013-12-26,Boxing Day
2013-12-25,Christmas Day
2013-08-26,Summer bank holiday
2013-05-27,Spring bank holiday
2013-06-05,Early May bank holiday
2013-01-04,Easter Monday
2013-03-29,Good Friday
2013-01-01,New Year?s Day
2014-12-26,Boxing Day
2014-12-25,Christmas Day
2014-08-25,Summer bank holiday
2014-05-26,Spring bank holiday
2014-05-05,Early May bank holiday
2014-04-21,Easter Monday
2014-04-18,Good Friday
2014-01-01,New Year?s Day
